epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
1,0.4922760041194645,0.3543689320388349,0.3914209115281501,0.3719745222929936,0.4520452446492777,0.3539404745495429,332,266,227,146,598,373,0.59391771019678,0.5551839464882943,0.5738979621570746,6.013788207884757,0.5371900826446281,0.4193548387096774,0.2549019607843137,0.3170731707317073,0.4829131652661065,0.4310169675934556,52,18,38,13,70,51,0.5777777777777777,0.7428571428571429,0.6499999507812537,1.141614869236946
2,0.5190525231719877,0.3625730994152046,0.3324396782841823,0.3468531468531468,0.49339621795619,0.3818341169545689,380,218,249,124,598,373,0.604133545310016,0.6354515050167224,0.6193968530474047,1.6034471950223368,0.5702479338842975,0.3333333333333333,0.0196078431372549,0.037037037037037,0.5067226890756302,0.4462440922949994,68,2,50,1,70,51,0.576271186440678,0.9714285714285714,0.7234042085785454,0.6896301060914993
3,0.5736354273944387,0.4037558685446009,0.2305630026809651,0.2935153583617747,0.492775292081738,0.3977305785633197,471,127,287,86,598,373,0.6213720316622692,0.7876254180602007,0.6946902161828596,0.8407665260376469,0.5619834710743802,0.375,0.0588235294117647,0.1016949152542373,0.4473389355742296,0.4088436009446689,65,5,48,3,70,51,0.5752212389380531,0.9285714285714286,0.7103824664218132,0.7266701310873032
4,0.5932028836251287,0.3225806451612903,0.0536193029490616,0.0919540229885057,0.5042366422480655,0.3868737903081047,556,42,353,20,598,373,0.6116611661166117,0.9297658862876256,0.7378897995083361,0.6969456691895762,0.5785123966942148,0.0,0.0,0.0,0.4596638655462185,0.4398246713027832,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,0.7007970809936523
5,0.6045314109165808,0.3513513513513513,0.03485254691689,0.0634146341463414,0.4797134326216969,0.3720619128814908,574,24,360,13,598,373,0.6145610278372591,0.959866220735786,0.749347210890731,0.678919586443132,0.5785123966942148,0.5,0.0196078431372549,0.0377358490566037,0.4372549019607843,0.4062075027541777,69,1,50,1,70,51,0.5798319327731093,0.9857142857142858,0.7301586835195013,0.6987744271755219
6,0.6096807415036045,0.3636363636363636,0.0214477211796246,0.040506329113924,0.5268813829834929,0.406555900551404,584,14,365,8,598,373,0.6153846153846154,0.9765886287625418,0.7550096487601405,0.6687462599046768,0.5702479338842975,0.0,0.0,0.0,0.4406162464985994,0.4122567424863527,69,1,51,0,70,51,0.575,0.9857142857142858,0.726315742936291,0.7108329683542252
7,0.6189495365602472,0.5306122448979592,0.0697050938337801,0.1232227488151658,0.5318487899791082,0.4201920502158535,575,23,347,26,598,373,0.6236442516268981,0.9615384615384616,0.7565788996402385,0.6675267777135295,0.5785123966942148,0.0,0.0,0.0,0.4481792717086835,0.4108189696054253,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,0.7105537950992584
1,0.5592173017507724,0.3766816143497757,0.225201072386059,0.2818791946308724,0.4815627605871224,0.370964516241516,459,139,289,84,598,373,0.6136363636363636,0.7675585284280937,0.6820207529983765,6.118437920847247,0.5785123966942148,0.5,0.1372549019607843,0.2153846153846154,0.5134453781512606,0.4632660378378477,63,7,44,7,70,51,0.5887850467289719,0.9,0.7118643589645409,2.232941299676895
2,0.5087538619979403,0.3666666666666666,0.3833780160857908,0.3748361730013106,0.4839186923345915,0.363746281728051,351,247,230,143,598,373,0.6041308089500861,0.5869565217391305,0.5954197973386439,6.393367505842639,0.5537190082644629,0.4634146341463415,0.3725490196078431,0.4130434782608695,0.4988795518207283,0.450345243313354,48,22,32,19,70,51,0.6,0.6857142857142857,0.6399999502222261,1.449427992105484
3,0.5046343975283213,0.3826086956521739,0.4718498659517426,0.4225690276110444,0.4942390631864929,0.3781274319781523,314,284,197,176,598,373,0.6144814090019569,0.5250836120401338,0.5662758745638036,5.556991654057657,0.5206611570247934,0.4339622641509434,0.4509803921568627,0.4423076923076923,0.4886554621848739,0.4389481171399618,40,30,28,23,70,51,0.5882352941176471,0.5714285714285714,0.5797100949380425,2.024374336004257
4,0.5005149330587023,0.3679245283018867,0.4182305630026809,0.3914680050188205,0.5037524545625723,0.3876288868630091,330,268,217,156,598,373,0.603290676416819,0.5518394648829431,0.5764191640730006,4.587109434989191,0.5371900826446281,0.4390243902439024,0.3529411764705882,0.391304347826087,0.4896358543417367,0.4411010668562244,47,23,33,18,70,51,0.5875,0.6714285714285714,0.6266666168888928,1.9233260303735733
5,0.5025746652935118,0.3618090452261306,0.3860589812332439,0.3735408560311284,0.5056197154052382,0.3983438532123779,344,254,229,144,598,373,0.6003490401396161,0.5752508361204013,0.5875319739339807,3.317977163099473,0.5619834710743802,0.4736842105263157,0.3529411764705882,0.4044943820224719,0.4851540616246499,0.437444920023189,50,20,33,18,70,51,0.6024096385542169,0.7142857142857143,0.6535947216028062,1.0177695155143738
