endpoint,split,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives,support_negative,support_positive,precision_negative,recall_negative,f1_negative,loss,hidden_channels,num_layers,heads,dropout,lr
dili,train,0.615859938208033,0.0,0.0,0.0,0.5098922234077847,0.4067987329700443,598,0,373,0,598,373,0.615859938208033,1.0,0.7622689139475388,1.1732871013302957,16,3,2,0.3369658275448169,0.0001238513729886
dili,val,0.5785123966942148,0.0,0.0,0.0,0.5456582633053221,0.4544135748348631,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,1.294673666357994,16,3,2,0.3369658275448169,0.0001238513729886
dili,test,0.5454545454545454,0.0,0.0,0.0,0.4398071625344353,0.4253876825596664,66,0,55,0,66,55,0.5454545454545454,1.0,0.7058823072664389,1.7442340552806854,16,3,2,0.3369658275448169,0.0001238513729886
nr_ahr,train,0.9221661152707644,0.75,0.4825493171471927,0.5872576177285319,0.923465745132756,0.6923677063561722,4978,106,341,318,5084,659,0.935890204925738,0.9791502753737216,0.9570315755181636,0.1982975330617692,64,5,4,0.110167650697638,0.0001643549747511
nr_ahr,val,0.9015256588072122,0.6857142857142857,0.4948453608247423,0.5748502994011976,0.8992036743325403,0.6155642517079851,602,22,49,48,624,97,0.9247311827956988,0.9647435897435898,0.9443136755126208,0.2552780382659124,64,5,4,0.110167650697638,0.0001643549747511
nr_ahr,test,0.8998609179415855,0.6551724137931034,0.4222222222222222,0.5135135135135135,0.8430312665606783,0.564175390666462,609,20,52,38,629,90,0.9213313161875946,0.9682034976152624,0.944185996542398,0.2905479378026465,64,5,4,0.110167650697638,0.0001643549747511
nr_ar,train,0.971779336734694,0.8125,0.3291139240506329,0.4684684684684684,0.8382487528796507,0.5004288914295287,6017,18,159,78,6035,237,0.9742551813471504,0.9970173985086992,0.9855048226624714,0.1094592655913866,32,2,8,0.2727780074568463,0.0003823475224675
nr_ar,val,0.955470737913486,0.7692307692307693,0.238095238095238,0.3636363636363636,0.7749615975422427,0.4043168858744115,741,3,32,10,744,42,0.9586028460543338,0.995967741935484,0.97692809767813,0.1617066847532987,32,2,8,0.2727780074568463,0.0003823475224675
nr_ar,test,0.979591836734694,0.8,0.3636363636363636,0.5,0.9167263183011216,0.602908647958806,760,2,14,8,762,22,0.9819121447028424,0.9973753280839897,0.9895832833363876,0.0792902061343193,32,2,8,0.2727780074568463,0.0003823475224675
nr_aromatase,train,0.9516798009124844,0.0,0.0,0.0,0.8410205844790023,0.2804456003155596,4589,1,232,0,4590,232,0.9518772038996058,0.9997821350762528,0.9752416884213716,0.15370798469922,32,2,8,0.3404460046972835,0.0026070247583707
nr_aromatase,val,0.9533333333333334,0.0,0.0,0.0,0.8213036963036964,0.2142616993963247,572,0,28,0,572,28,0.9533333333333334,1.0,0.976109165045606,0.1561375858360215,32,2,8,0.3404460046972835,0.0026070247583707
nr_aromatase,test,0.9603305785123968,0.0,0.0,0.0,0.7284853700516352,0.0753788545087695,581,0,24,0,581,24,0.9603305785123968,1.0,0.9797638623307642,0.1566731162173183,32,2,8,0.3404460046972835,0.0026070247583707
