epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
1,0.9390294483616757,0.06944444444444445,0.021551724137931036,0.03289473684210526,0.5423540680640072,0.062366679166843256,4523,67,227,5,4590,232,0.9522105263157895,0.9854030501089325,0.9685224339547183,0.4282742839226413,0.9533333333333334,0.0,0.0,0.0,0.7439435564435565,0.1313987961944525,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.17419562724075818
2,0.9506428867689756,0.0,0.0,0.0,0.7070956351889415,0.10344467372050155,4584,6,232,0,4590,232,0.9518272425249169,0.9986928104575163,0.97469695194254,0.1835076706668991,0.9533333333333334,0.0,0.0,0.0,0.7581793206793207,0.13891267491728843,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.16904914222265544
3,0.9512650352550809,0.0,0.0,0.0,0.6894457591465705,0.10071495088679042,4587,3,232,0,4590,232,0.9518572317908279,0.9993464052287582,0.9750238633041449,0.1859715227839469,0.9533333333333334,0.0,0.0,0.0,0.7397602397602399,0.14614100451527418,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.17174765575481088
4,0.9518871837411862,0.0,0.0,0.0,0.6761315829013598,0.09956674316861544,4590,0,232,0,4590,232,0.9518871837411862,1.0,0.9753505662649763,0.18748703385573745,0.9533333333333334,0.0,0.0,0.0,0.734577922077922,0.16532247381570575,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.1764866371492022
5,0.9516798009124845,0.0,0.0,0.0,0.7170244534595448,0.1051485918679224,4589,1,232,0,4590,232,0.9518772038996058,0.9997821350762527,0.9752416884213715,0.17941824507140955,0.9533333333333334,0.0,0.0,0.0,0.7697302697302697,0.13071581124252474,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.17261236866838053
6,0.9516798009124845,0.0,0.0,0.0,0.7359401998347233,0.12603765688908336,4589,1,232,0,4590,232,0.9518772038996058,0.9997821350762527,0.9752416884213715,0.17729109806927623,0.9533333333333334,0.0,0.0,0.0,0.7539335664335663,0.13977026142844506,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.17041990298189616
7,0.9518871837411862,0.0,0.0,0.0,0.71495661482984,0.11007338734398393,4590,0,232,0,4590,232,0.9518871837411862,1.0,0.9753505662649763,0.18058506357452728,0.9533333333333334,0.0,0.0,0.0,0.7633616383616384,0.13447333433486658,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.1699323434578745
8,0.9512650352550809,0.0,0.0,0.0,0.7170892494929006,0.116983820567001,4587,3,232,0,4590,232,0.9518572317908279,0.9993464052287582,0.9750238633041449,0.18170537264857267,0.9533333333333334,0.0,0.0,0.0,0.7770354645354646,0.1467874778385769,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.16667537253938222
9,0.9516798009124845,0.0,0.0,0.0,0.7158421606190368,0.11851607804727844,4589,1,232,0,4590,232,0.9518772038996058,0.9997821350762527,0.9752416884213715,0.17947428165904142,0.9533333333333334,0.0,0.0,0.0,0.774537962037962,0.14527020147743583,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.17199035459443143
10,0.9518871837411862,0.5,0.004310344827586207,0.008547008547008548,0.7314373450529637,0.11853876276833623,4589,1,231,1,4590,232,0.9520746887966804,0.9997821350762527,0.9753453272881091,0.17750002815085925,0.9533333333333334,0.0,0.0,0.0,0.7276473526473527,0.12011070171070096,572,0,28,0,572,28,0.9533333333333334,1.0,0.9761091650456059,0.17333690292741122
