epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
1,0.932421875,0.0657894736842105,0.0178571428571428,0.0280898876404494,0.4892023317591499,0.0563720522692623,4769,71,275,5,4840,280,0.9454797779540048,0.9853305785123968,0.9649938796044664,0.4170209976378828,0.932601880877743,0.0,0.0,0.0,0.6136798905608756,0.1296838777368618,595,0,43,0,595,43,0.932601880877743,1.0,0.9651256597120704,0.2439969383180141
2,0.9443359375,0.1428571428571428,0.0035714285714285,0.0069686411149825,0.6176151121605667,0.0810960673606854,4834,6,279,1,4840,280,0.9454332094660668,0.9987603305785124,0.9713653674996916,0.2129545344738289,0.932601880877743,0.0,0.0,0.0,0.6083251905413328,0.1207109212490247,595,0,43,0,595,43,0.932601880877743,1.0,0.9651256597120704,0.2487749161198735
3,0.94453125,0.1666666666666666,0.0035714285714285,0.0069930069930069,0.649411525974026,0.0991739797560497,4835,5,279,1,4840,280,0.9454438795463432,0.9989669421487604,0.9714687063167712,0.2071730359690264,0.932601880877743,0.0,0.0,0.0,0.6216533124877859,0.1230448825049455,595,0,43,0,595,43,0.932601880877743,1.0,0.9651256597120704,0.2466950040310621
4,0.9451171875,0.3333333333333333,0.0035714285714285,0.0070671378091872,0.6520912042502952,0.0943298064507194,4838,2,279,1,4840,280,0.9454758647645104,0.999586776859504,0.9717785982259042,0.2071001016302034,0.9294670846394985,0.0,0.0,0.0,0.6653507914793825,0.1491727241453108,593,2,43,0,595,43,0.9323899371069182,0.9966386554621848,0.9634443042390584,0.2464421497657895
5,0.94453125,0.1666666666666666,0.0035714285714285,0.0069930069930069,0.6392864521841795,0.1008567489383515,4835,5,279,1,4840,280,0.9454438795463432,0.9989669421487604,0.9714687063167712,0.2071322516305372,0.9310344827586208,0.0,0.0,0.0,0.667265976157905,0.1537299764269797,594,1,43,0,595,43,0.9324960753532182,0.9983193277310924,0.9642856643438265,0.236637694761157
6,0.9451171875,0.0,0.0,0.0,0.6464938754427391,0.1133560876145936,4839,1,280,0,4840,280,0.9453018167610862,0.999793388429752,0.9717842657335908,0.2044517895788885,0.932601880877743,0.0,0.0,0.0,0.6893492280633184,0.1568957546124929,595,0,43,0,595,43,0.932601880877743,1.0,0.9651256597120704,0.232967047393322
7,0.9455078125,0.6,0.0107142857142857,0.0210526315789473,0.6727173110979929,0.1229211606907265,4838,2,277,3,4840,280,0.9458455522971652,0.999586776859504,0.9719738325092776,0.2022468687966466,0.926332288401254,0.0,0.0,0.0,0.6980261872190736,0.1689155663785224,591,4,43,0,595,43,0.9321766561514196,0.9932773109243698,0.9617574764946156,0.2423913333564996
8,0.9453125,0.5,0.0035714285714285,0.0070921985815602,0.663254132231405,0.1219782289621286,4839,1,279,1,4840,280,0.9454865181711606,0.999793388429752,0.9718818540357576,0.2021967464243061,0.9310344827586208,0.0,0.0,0.0,0.7005276529216337,0.1691141054089188,594,1,43,0,595,43,0.9324960753532182,0.9983193277310924,0.9642856643438265,0.234047145769
9,0.94453125,0.0,0.0,0.0,0.6744185360094451,0.1072395667331711,4836,4,280,0,4840,280,0.9452697419859264,0.9991735537190084,0.9714744377845108,0.204620472213719,0.932601880877743,0.0,0.0,0.0,0.6846198944694156,0.1486741844585007,595,0,43,0,595,43,0.932601880877743,1.0,0.9651256597120704,0.2351996697485447
10,0.9451171875,0.3333333333333333,0.0035714285714285,0.0070671378091872,0.67851313459268,0.1131445905711664,4838,2,279,1,4840,280,0.9454758647645104,0.999586776859504,0.9717785982259042,0.2017690853914246,0.9310344827586208,0.0,0.0,0.0,0.6931014266171585,0.1586448796772269,594,1,43,0,595,43,0.9324960753532182,0.9983193277310924,0.9642856643438265,0.2316179681569337
